hour,day,month,year,num_transactions,input_value,output_value
8,29,1,2014,53,440737369495,726737369495
9,29,1,2014,60,380371805920,637771805920
10,29,1,2014,57,375844759322,604644759322
11,29,1,2014,47,289620204922,504120204922
12,29,1,2014,51,325557751087,554357751087
13,29,1,2014,51,294673128247,494873128247
14,29,1,2014,54,396858053916,611358053916
15,29,1,2014,43,329462241518,486762241518
16,29,1,2014,45,283854066731,526954066731
17,29,1,2014,67,391076029101,705676029101
18,29,1,2014,82,640777997391,955377997391
19,29,1,2014,37,259831944727,402831944727
20,29,1,2014,51,432983930401,690383930401
21,29,1,2014,60,464119123657,692919123657
22,29,1,2014,42,332814652176,518714652176
23,29,1,2014,70,461083023439,761383023439
0,30,1,2014,73,1378439889079,1664439889079
1,30,1,2014,81,676477221634,976777221634
2,30,1,2014,59,365183727571,551083727571
3,30,1,2014,47,391715404308,549015404308
4,30,1,2014,85,545645055027,903145055027
5,30,1,2014,66,461840940229,733540940229
6,30,1,2014,56,398172500272,655572500272
7,30,1,2014,32,202827309568,374427309568
8,30,1,2014,43,289164132381,475064132381
9,30,1,2014,55,374342260021,660342260021
10,30,1,2014,114,797253946110,1476253946110
11,30,1,2014,152,944922080150,1689522080150
12,30,1,2014,166,1303228690715,2193828690715
13,30,1,2014,143,1438231536349,2328831536349
14,30,1,2014,129,944753398959,1630953398959
15,30,1,2014,140,1019511607335,1837111607335
16,30,1,2014,163,1175609923521,2153809923521
17,30,1,2014,194,1401983201202,2467783201202
18,30,1,2014,176,1319609403953,2137209403953
19,30,1,2014,162,12835643637144,13624043637144
20,30,1,2014,122,876116158742,1474316158742
21,30,1,2014,83,667386434414,993786434414
22,30,1,2014,87,569375113420,950175113420
23,30,1,2014,64,354161415286,626161415286
0,31,1,2014,31,247667552211,383667552211
1,31,1,2014,70,459856754783,718256754783
2,31,1,2014,52,371651948952,562051948952
3,31,1,2014,52,254842294831,472442294831
4,31,1,2014,45,258281598766,407881598766
5,31,1,2014,39,264237667095,413837667095
6,31,1,2014,42,245534672726,422334672726
7,31,1,2014,35,199333537258,321733537258
8,31,1,2014,53,399068025718,630268025718
9,31,1,2014,56,323333018782,554533018782
10,31,1,2014,52,323517483578,595517483578
11,31,1,2014,39,322035752527,498835752527
12,31,1,2014,44,326736125984,530736125984
13,31,1,2014,60,366953240123,570953240123
14,31,1,2014,36,167194733962,289594733962
15,31,1,2014,46,312616197316,503016197316
16,31,1,2014,102,766458730647,1065658730647
17,31,1,2014,44,269926721072,446726721072
18,31,1,2014,42,316829450165,520829450165
19,31,1,2014,51,425737435220,575337435220
20,31,1,2014,76,490657630388,762657630388
21,31,1,2014,43,395110090533,571910090533
22,31,1,2014,15,77589029492,186389029492
23,31,1,2014,80,531093861094,803093861094
0,1,2,2014,50,328664724033,532664724033
1,1,2,2014,32,184413718291,361213718291
2,1,2,2014,52,322974268320,567774268320
3,1,2,2014,38,206745350573,356345350573
4,1,2,2014,70,452727493087,670327493087
5,1,2,2014,51,303537273293,548337273293
6,1,2,2014,69,497961065414,783561065414
7,1,2,2014,33,217662275107,353662275107
8,1,2,2014,48,271163120003,543163120003
9,1,2,2014,56,338785270743,578985270743
10,1,2,2014,56,405426275352,661026275352
11,1,2,2014,76,383497109970,766897109970
12,1,2,2014,79,501837353126,856837353126
13,1,2,2014,68,418840964510,717040964510
14,1,2,2014,110,816414457343,1341814457343
15,1,2,2014,103,772115947993,1297515947993
16,1,2,2014,82,526900113646,952900113646
17,1,2,2014,74,503712048696,872912048696
18,1,2,2014,82,577939044716,947139044716
19,1,2,2014,74,12192827220330,12604627220330
20,1,2,2014,66,456038654621,867838654621
21,1,2,2014,67,448840602208,846440602208
22,1,2,2014,77,621516717512,1090116717512
23,1,2,2014,82,536756288917,1005356288917
0,2,2,2014,72,559671358204,943071358204
1,2,2,2014,83,568912366212,966512366212
2,2,2,2014,61,410141597482,708341597482
3,2,2,2014,63,376867163463,646667163463
4,2,2,2014,66,11039365327090,11436965327090
5,2,2,2014,60,414935739218,755735739218
6,2,2,2014,95,669877246074,1148877246074
7,2,2,2014,69,438574799753,718574799753
8,2,2,2014,64,515488417805,753488417805
9,2,2,2014,79,608197704777,944197704777
10,2,2,2014,89,630444901730,980444901730
11,2,2,2014,72,515711333137,809711333137
12,2,2,2014,65,351501126192,631501126192
13,2,2,2014,98,743956618365,1149956618365
14,2,2,2014,76,489956076575,853956076575
15,2,2,2014,94,527321114312,1059321114312
16,2,2,2014,165,1086947126156,2024947126156
17,2,2,2014,153,849952185633,1885952185633
18,2,2,2014,139,648224330121,1768224330121
19,2,2,2014,154,734722386876,1784722386876
20,2,2,2014,84,419209156750,1019609156750
21,2,2,2014,49,162192800299,584592800299
22,2,2,2014,35,133369674875,410569674875
23,2,2,2014,50,215210268320,584810268320
0,3,2,2014,48,201100559550,597100559550
1,3,2,2014,28,649041745049,833841745049
2,3,2,2014,74,489912423716,912312423716
3,3,2,2014,71,552001156115,974401156115
4,3,2,2014,113,751065806505,1279065806505
5,3,2,2014,87,622889076611,1150889076611
6,3,2,2014,76,722205082460,1263405082460
7,3,2,2014,95,721121484318,1315121484318
8,3,2,2014,66,486275703120,855875703120
9,3,2,2014,90,701939160288,1203539160288
10,3,2,2014,70,575389478400,1037389478400
11,3,2,2014,82,599954839333,1061954839333
12,3,2,2014,93,756105440386,1297305440386
13,3,2,2014,89,668958539245,1196958539245
14,3,2,2014,53,359432661313,610832661313
15,3,2,2014,85,513714161925,913714161925
16,3,2,2014,82,8696055300360,9046055300360
17,3,2,2014,63,22577135249536,22814635249536
18,3,2,2014,82,1545394508905,2007894508905
19,3,2,2014,96,627723420676,1040223420676
20,3,2,2014,66,573597757444,873597757444
21,3,2,2014,83,492622652170,855122652170
22,3,2,2014,78,523089906924,910589906924
23,3,2,2014,85,564581401597,964581401597
0,4,2,2014,86,583757596388,958757596388
1,4,2,2014,59,395453510081,695453510081
2,4,2,2014,57,309289181681,621789181681
3,4,2,2014,60,459252396760,746752396760
4,4,2,2014,82,566176828386,978676828386
5,4,2,2014,61,395582021757,695582021757
6,4,2,2014,51,279429306194,566929306194
7,4,2,2014,82,554002631213,966502631213
8,4,2,2014,67,446734495452,784234495452
9,4,2,2014,77,4021582060266,4484082060266
10,4,2,2014,85,591059427007,1020159427007
11,4,2,2014,57,372756186068,614756186068
12,4,2,2014,54,385059133390,663359133390
13,4,2,2014,76,494687883612,833487883612
14,4,2,2014,64,924524721552,1166524721552
15,4,2,2014,60,376031210650,666431210650
16,4,2,2014,91,637648718437,976448718437
17,4,2,2014,57,1036496023042,1302696023042
18,4,2,2014,86,1814890388998,2214190388998
19,4,2,2014,79,989062192942,1279462192942
20,4,2,2014,91,568120089691,1027920089691
21,4,2,2014,84,573736588733,888336588733
22,4,2,2014,74,435011604574,725411604574
23,4,2,2014,54,5525387583901,5767387583901
0,5,2,2014,60,393895179965,623795179965
1,5,2,2014,77,1216319419673,1482519419673
2,5,2,2014,90,718031439538,1044731439538
3,5,2,2014,93,728129441055,1151629441055
4,5,2,2014,71,650255798442,952755798442
5,5,2,2014,76,581201633068,907901633068
6,5,2,2014,79,16038205819347,16364905819347
7,5,2,2014,88,697877407981,1024577407981
8,5,2,2014,74,532815202124,845415202124
9,5,2,2014,79,576965211050,886365211050
10,5,2,2014,146,1078121959728,1637421959728
11,5,2,2014,122,801836381461,1301636381461
12,5,2,2014,87,684606659146,1029706659146
13,5,2,2014,106,820109300102,1212809300102
14,5,2,2014,128,3487288782000,4034688782000
15,5,2,2014,128,990332384853,1478232384853
16,5,2,2014,117,16199523989081,16663623989081
17,5,2,2014,104,811206567698,1251506567698
18,5,2,2014,132,4605856990450,5117556990450
19,5,2,2014,131,1433660045006,1921560045006
20,5,2,2014,141,1580785565816,2104385565816
21,5,2,2014,117,895164579335,1347364579335
22,5,2,2014,139,1940894739122,2416894739122
23,5,2,2014,122,979651564400,1382451564400
0,6,2,2014,77,583405391250,799705391250
1,6,2,2014,125,1941464550683,2353464550683
2,6,2,2014,98,699123435754,1008123435754
3,6,2,2014,130,2259555228901,2681855228901
4,6,2,2014,103,1088313428190,1490013428190
5,6,2,2014,142,1182286472514,1656086472514
6,6,2,2014,141,763141954286,1113341954286
7,6,2,2014,142,1034724522172,1487924522172
8,6,2,2014,119,707860471297,1109560471297
9,6,2,2014,124,913263540839,1232563540839
10,6,2,2014,158,1600430408882,2002130408882
11,6,2,2014,149,932962158989,1334662158989
12,6,2,2014,133,774540463649,1114440463649
13,6,2,2014,119,772646477935,1122846477935
14,6,2,2014,138,855045669727,1246445669727
15,6,2,2014,121,936758364052,1180758364052
16,6,2,2014,137,17035947077331,17328347077331
17,6,2,2014,114,1599034980004,1839834980004
18,6,2,2014,149,1941276002492,2250876002492
19,6,2,2014,158,965953012132,1318553012132
20,6,2,2014,146,778160630260,1044760630260
21,6,2,2014,127,1141287216120,1347687216120
22,6,2,2014,107,511692583939,718092583939
23,6,2,2014,140,666024017685,906824017685
0,7,2,2014,177,1266609281903,1567609281903
1,7,2,2014,126,870267476558,1111067476558
2,7,2,2014,118,1328489061068,1543489061068
3,7,2,2014,160,1805569183834,2054969183834
4,7,2,2014,110,808469630445,1006269630445
5,7,2,2014,128,742646474342,974846474342
6,7,2,2014,124,590291084511,779491084511
7,7,2,2014,101,415397050939,561597050939
8,7,2,2014,132,432676218980,656276218980
9,7,2,2014,96,524406356639,662006356639
10,7,2,2014,91,472230395379,609830395379
11,7,2,2014,78,825468844622,928668844622
12,7,2,2014,120,1259772063267,1423172063267
13,7,2,2014,62,1496987387651,1617387387651
14,7,2,2014,100,1387734101088,1489934101088
15,7,2,2014,72,1337247086452,1421247086452
16,7,2,2014,65,443682342319,527682342319
17,7,2,2014,118,1187626609724,1372426609724
18,7,2,2014,111,1079049187066,1280649187066
19,7,2,2014,114,731187628332,932787628332
20,7,2,2014,87,1142765697087,1285565697087
