hour,day,month,year,num_transactions,avg_gas_price,avg_gas
18,1,5,2020,29579,9411000167.5851269,193745.89688630446
19,1,5,2020,32260,8761443963.1168022,228955.51549907061
20,1,5,2020,31516,7982577821.4362736,208383.48876760877
21,1,5,2020,30365,8038573914.8402748,231822.1930182784
22,1,5,2020,23534,8592259974.6054039,230315.08421857766
23,1,5,2020,26879,8580156161.6176186,254879.68380520266
0,2,5,2020,30358,10390545917.707613,231968.31378878737
1,2,5,2020,30922,10924338558.704473,180236.943567687
2,2,5,2020,34549,11539428023.786919,184118.87458392509
3,2,5,2020,39918,10585896406.227499,176196.74495215228
4,2,5,2020,31646,12748315803.975067,217788.59975984317
5,2,5,2020,31447,12438560879.041197,213020.21366108218
6,2,5,2020,31828,11795204476.45228,174041.69489129022
7,2,5,2020,32706,12749810666.613344,169995.737387635
8,2,5,2020,38067,14346827353.052839,220581.1430110067
9,2,5,2020,32768,13772744499.945889,166330.678680419
10,2,5,2020,34430,13644435511.222813,186923.39076386884
11,2,5,2020,34276,12834448035.694818,188123.84575212939
12,2,5,2020,34658,12370469809.122805,189426.86384096
13,2,5,2020,34940,12548056272.7668,207791.19676588476
14,2,5,2020,36169,12975247646.447102,193660.00873676414
15,2,5,2020,32893,12533456973.753672,190435.95202626733
16,2,5,2020,31869,11254897314.59877,220715.3464495276
17,2,5,2020,27166,10757832361.479719,267540.32916145172
18,2,5,2020,27119,9592588998.9435253,301135.44301043689
19,2,5,2020,28233,8222319012.1053,293548.3387525226
20,2,5,2020,26493,7950923148.8129883,279280.70358207822
21,2,5,2020,26770,7203985192.2668476,284671.91419499362
22,2,5,2020,28270,7430896794.86795,245439.36727980187
23,2,5,2020,28495,8502768101.6353016,211460.68471661679
0,3,5,2020,31097,11945621278.817257,225674.59925394744
1,3,5,2020,33965,13659369269.319195,219939.55892830947
2,3,5,2020,36463,12558076956.88899,176647.62370073752
3,3,5,2020,36571,13569221167.809622,175701.87993218782
4,3,5,2020,34016,12381533031.762112,171244.26278809982
5,3,5,2020,30252,13331270770.954418,197004.76236281931
6,3,5,2020,33114,15494726514.196571,220569.50341245381
7,3,5,2020,36499,12496041276.965071,198417.07304309797
8,3,5,2020,40703,13296422791.775509,200783.1126452593
9,3,5,2020,37163,12931963880.628483,224076.98842935055
10,3,5,2020,33652,12835092960.639263,207363.53681801943
11,3,5,2020,37011,14201374061.627882,220736.90313690496
12,3,5,2020,34754,12952093641.6383,202609.55518789197
13,3,5,2020,37895,13116633414.454546,234896.60504024083
14,3,5,2020,34164,15425459145.807257,251360.34448542303
15,3,5,2020,37849,16308359608.530884,251928.53129541082
16,3,5,2020,36300,14770223847.967161,221054.82101928367
17,3,5,2020,29461,11181139343.344393,253871.04538202946
18,3,5,2020,28071,9371731209.6018257,255132.57963734755
19,3,5,2020,26533,8466225868.6794891,261090.88195831663
20,3,5,2020,29745,8200698814.0637846,228861.82292822254
21,3,5,2020,25107,6805600824.8688278,329360.15549448266
22,3,5,2020,23333,9668434950.5094872,275266.4945784937
23,3,5,2020,25971,8857137870.7433357,217404.38616148793
0,4,5,2020,28104,9608549549.851902,215903.56440364473
1,4,5,2020,30610,14862549182.20801,244737.58869650366
2,4,5,2020,36397,13414837686.202991,200136.68659504937
3,4,5,2020,36694,12981173807.914467,180986.58047637172
4,4,5,2020,33584,15784099115.242306,263294.56833611155
5,4,5,2020,38383,16579418340.721176,234670.83510929311
6,4,5,2020,34827,17332936578.9488,210977.68831653768
7,4,5,2020,36478,16311401820.848507,170671.93352157503
8,4,5,2020,39028,16938560590.20784,181306.40007174242
9,4,5,2020,35780,16118196986.333574,211631.33093907268
10,4,5,2020,34581,16153153178.165543,199856.36358115554
11,4,5,2020,30835,14892904364.171986,194019.21485325237
12,4,5,2020,38073,15203850855.790451,204395.94376592393
13,4,5,2020,37191,15446153112.563812,201213.64426877344
14,4,5,2020,38538,18200495435.39127,193219.28958430549
15,4,5,2020,34792,17458568400.040295,199407.21832605271
16,4,5,2020,32200,16687096706.7459,230332.73680124231
17,4,5,2020,29568,16669825121.889225,307664.08698593359
18,4,5,2020,30515,12465043277.647675,289091.16372275958
19,4,5,2020,23999,10879478769.693842,338720.83878495166
20,4,5,2020,23860,11422214184.07262,334442.21445934643
21,4,5,2020,22129,12030717300.017855,313818.92439784884
22,4,5,2020,22944,13256188293.051981,276512.49895397248
23,4,5,2020,24925,11765970590.125025,328562.20232697937
0,5,5,2020,28912,11380666970.431492,228346.23142639649
1,5,5,2020,33962,12292940667.154003,209450.70767328114
2,5,5,2020,36876,13026568207.083141,237302.61465451765
3,5,5,2020,33999,13733477654.651037,183834.39457042972
4,5,5,2020,30018,15364761824.650614,189657.8931974149
5,5,5,2020,33376,16273253343.845537,241564.61244606884
6,5,5,2020,32768,17163654021.412222,225111.574615479
7,5,5,2020,36121,19606935693.132267,216867.98662827761
8,5,5,2020,41915,18877923615.142647,211825.3760467603
9,5,5,2020,37672,18870046449.282509,191657.8661074533
10,5,5,2020,38199,21975315234.015984,253450.74185187989
11,5,5,2020,34775,17047829207.181017,168623.97998562065
12,5,5,2020,33295,16625597863.71678,186190.24192821767
13,5,5,2020,34192,16615932473.700706,201887.83750584867
14,5,5,2020,36655,19477673806.099243,272136.61186741426
15,5,5,2020,35851,20797459633.906666,255201.51401634296
16,5,5,2020,30359,18778992260.783985,246735.63994202876
17,5,5,2020,30140,16119614670.926937,254083.08483742698
18,5,5,2020,29081,12184037489.566538,285095.77363226569
19,5,5,2020,26343,9494695793.1709881,316824.74452416366
20,5,5,2020,28414,8406304680.2156725,268193.15119307314
21,5,5,2020,27053,10864498200.253128,274394.36084722588
22,5,5,2020,27652,8392738845.6080675,276682.94853898382
23,5,5,2020,27890,9129500522.7954388,268214.14937253471
0,6,5,2020,30219,11167951442.8226,281578.94612660841
1,6,5,2020,33359,12649175295.6106,244732.21802212254
2,6,5,2020,36204,13881801414.413134,228068.17003645882
3,6,5,2020,39824,15361003965.997879,198681.32384993904
