hour,day,month,year,num_transactions,input_value,output_value
11,8,1,2013,1018,5999002583068,6014002583068
12,8,1,2013,494,3348513454894,3358513454894
13,8,1,2013,1948,12271934995347,12284434995347
14,8,1,2013,1498,6594068289949,6601568289949
15,8,1,2013,1524,5167585839276,5180085839276
16,8,1,2013,1282,8008642433629,8018642433629
17,8,1,2013,2045,7632640108688,7652640108688
18,8,1,2013,1878,9360114743240,9370114743240
19,8,1,2013,2458,10214024845903,10226524845903
20,8,1,2013,1377,6180761355647,6193261355647
21,8,1,2013,1984,12613981718191,12631481718191
22,8,1,2013,1955,8025634248945,8035634248945
23,8,1,2013,1957,7688575727926,7701075727926
0,9,1,2013,1459,10231084499564,10236084499564
1,9,1,2013,2597,15562451511885,15577451511885
2,9,1,2013,2563,7796848306876,7811848306876
3,9,1,2013,1213,7112853400352,7120353400352
4,9,1,2013,2344,12142272565601,12159772565601
5,9,1,2013,2003,7217906026854,7237906026854
6,9,1,2013,1168,5372753930405,5382753930405
7,9,1,2013,1594,5734638886077,5747138886077
8,9,1,2013,1750,8048884746689,8063884646689
9,9,1,2013,1667,4474889100028,4492389100028
10,9,1,2013,1439,4623180280283,4633180280283
11,9,1,2013,1007,5366139344056,5393639344056
12,9,1,2013,1098,4071749880201,4086749880201
13,9,1,2013,1734,4953140002469,4968140002469
14,9,1,2013,847,3314598884017,3322098884017
15,9,1,2013,2018,8334512632451,8354512632451
16,9,1,2013,2645,10980589661669,10990589661669
17,9,1,2013,2134,4178036455183,4195536455183
18,9,1,2013,3511,15279089787177,15301589787177
19,9,1,2013,2488,5459280358064,5481780358064
20,9,1,2013,148,2364760792992,2367260792992
22,9,1,2013,3270,12421425190558,12431425190558
23,9,1,2013,2493,6654928700584,6664928700584
0,10,1,2013,3168,6331614431066,6349114431066
1,10,1,2013,2422,9267801964416,9282801964416
2,10,1,2013,2280,5840220315723,5857720315723
3,10,1,2013,2432,6210358626336,6227858576336
4,10,1,2013,2529,6457381279649,6477381279649
5,10,1,2013,1877,5077762387424,5097762387424
6,10,1,2013,1719,5031976974225,5049476874225
7,10,1,2013,1883,4035227021745,4055226971745
8,10,1,2013,1845,5384910240741,5402410240741
9,10,1,2013,1237,2756296548764,2763796548764
10,10,1,2013,2093,5059581851875,5072081851875
11,10,1,2013,2842,3856581568315,3881581568315
12,10,1,2013,1763,3519263472255,3531763472255
13,10,1,2013,1827,3583417233087,3598417233087
14,10,1,2013,1848,5492222488919,5507222488919
15,10,1,2013,1647,3866479928950,3876479928950
16,10,1,2013,3518,7279753403584,7299753403584
17,10,1,2013,2286,6635652714041,6650652714041
18,10,1,2013,2537,6826232428365,6841232428365
19,10,1,2013,1255,3216363211671,3226363211671
20,10,1,2013,2119,7673053310646,7688053310646
21,10,1,2013,2710,9576701509985,9589201509985
22,10,1,2013,1416,3157985007905,3162985007905
23,10,1,2013,3286,7006821368720,7021821368720
0,11,1,2013,2722,32400908765777,32413408715777
1,11,1,2013,4131,7751202105089,7768702105089
2,11,1,2013,1235,2878616707363,2886116657363
3,11,1,2013,4335,11807836759233,11825336759233
4,11,1,2013,3239,5365288402350,5380288402350
5,11,1,2013,2607,4411038079672,4431038079672
6,11,1,2013,1928,4449959854319,4467459854319
7,11,1,2013,2128,3928968026634,3938968026634
8,11,1,2013,1759,1871380844153,1878880844153
9,11,1,2013,2043,1975934686774,1988434686774
10,11,1,2013,2268,4385977569914,4395977569914
11,11,1,2013,2143,3393239550790,3410739550790
12,11,1,2013,585,888340969305,893340919305
13,11,1,2013,2659,6058729940526,6073729940526
14,11,1,2013,1784,3630727191050,3638227191050
15,11,1,2013,1024,1998191673758,2008191673758
16,11,1,2013,1895,3720364970189,3732864920189
17,11,1,2013,2632,4991420902440,5006420902440
18,11,1,2013,1084,2899164858392,2906664858392
19,11,1,2013,2433,4842248952157,4857248952157
20,11,1,2013,2252,3591121433141,3601121433141
21,11,1,2013,865,2381429648613,2383929648613
22,11,1,2013,1850,6410020164528,6417520164528
23,11,1,2013,3148,6909642409721,6929642409721
0,12,1,2013,2663,10263614979423,10276114979423
1,12,1,2013,1877,3558981842440,3568981842440
2,12,1,2013,2797,7510042428742,7530042428742
3,12,1,2013,1153,1726523441389,1734023441389
4,12,1,2013,1195,2095430398508,2102930398508
5,12,1,2013,2373,8313985375594,8331485375594
6,12,1,2013,2786,3905501222863,3925501222863
7,12,1,2013,1207,2007992681360,2022992681360
8,12,1,2013,2193,2316532163930,2331532163930
9,12,1,2013,1637,1848940200976,1858940200976
10,12,1,2013,682,1106745696384,1114245696384
11,12,1,2013,1999,4544099233169,4554099233169
12,12,1,2013,3005,3884655223729,3907155223729
13,12,1,2013,1228,4126745708359,4131745708359
14,12,1,2013,2193,3319555249503,3334555249503
15,12,1,2013,2045,4643526292657,4656026292657
16,12,1,2013,1271,2544179540684,2549179540684
17,12,1,2013,3119,6487563933431,6510063933431
18,12,1,2013,870,2523045058610,2533045058610
19,12,1,2013,1869,5275735593740,5283235593740
20,12,1,2013,1915,5271639900332,5284139900332
21,12,1,2013,739,1841226565823,1851226565823
22,12,1,2013,2849,5255952347638,5278452347638
23,12,1,2013,2006,3374851470456,3382351470456
0,13,1,2013,3805,5192429947131,5209929947131
1,13,1,2013,2511,4311298799794,4323798799794
2,13,1,2013,1614,4015312654566,4022812654566
3,13,1,2013,913,2163818207507,2171318207507
4,13,1,2013,2459,4321086612415,4343586612415
5,13,1,2013,1765,3910921147292,3925921147292
6,13,1,2013,1477,3647795680401,3657795680401
7,13,1,2013,2070,3945987657821,3955987657821
8,13,1,2013,1920,2425100595224,2450100595224
9,13,1,2013,2427,6225774278035,6245774278035
10,13,1,2013,1101,1871417758732,1876417758732
11,13,1,2013,1962,3197142481446,3209642481446
12,13,1,2013,1398,2608246407894,2623246407894
13,13,1,2013,2897,5576125130626,5588625130626
14,13,1,2013,2456,4678240600942,4695740600942
15,13,1,2013,2325,4665735797716,4675735797716
16,13,1,2013,3018,4486437685408,4501437685408
17,13,1,2013,1187,4406832804274,4411832804274
18,13,1,2013,1715,3769948835727,3777448835727
19,13,1,2013,2508,2539490242768,2561990242768
20,13,1,2013,1957,2537172833627,2552172733627
21,13,1,2013,2488,3472402938185,3489902938185
22,13,1,2013,1506,1685305320774,1707805320774
23,13,1,2013,1962,2624637043305,2632137043305
0,14,1,2013,3269,7394041103538,7404041103538
1,14,1,2013,1184,2559946171755,2569946171755
2,14,1,2013,2469,5166243783099,5178743783099
3,14,1,2013,1682,6288225591614,6308225591614
4,14,1,2013,843,3231104475983,3238604475983
5,14,1,2013,1788,7797229657255,7807229657255
6,14,1,2013,1796,5905517160639,5928017160639
7,14,1,2013,2114,3067449208351,3097449208351
8,14,1,2013,1124,3235726168849,3253226168849
9,14,1,2013,968,1622408693001,1632408693001
10,14,1,2013,1987,2680555975847,2700555975847
11,14,1,2013,2111,2410378824056,2442878724056
12,14,1,2013,844,2434106677511,2446606677511
13,14,1,2013,1458,1141885117979,1156885117979
14,14,1,2013,2413,2444715711027,2472215711027
15,14,1,2013,3079,3447019857371,3469519857371
16,14,1,2013,727,1738627058680,1743627058680
17,14,1,2013,1807,7303769195725,7311269195725
18,14,1,2013,1684,6274676470225,6284676470225
19,14,1,2013,3627,8042888988376,8065388988376
20,14,1,2013,2122,4951112312668,4971112312668
21,14,1,2013,1901,6457555495519,6467555495519
22,14,1,2013,1962,6741653085410,6759153035410
23,14,1,2013,1601,9240418639243,9260418589243
0,15,1,2013,1990,6031993417182,6036993417182
1,15,1,2013,1946,10982506164991,10995006164991
2,15,1,2013,3796,12969115761816,12986615761816
3,15,1,2013,297,2147225021671,2152225021671
4,15,1,2013,1524,10132459414493,10137459414493
5,15,1,2013,3138,17314910983956,17344910983956
6,15,1,2013,1635,9196605859825,9209105809825
7,15,1,2013,2124,9505839046152,9518339046152
8,15,1,2013,975,3920197967750,3927697967750
9,15,1,2013,1778,10785891580521,10795891580521
10,15,1,2013,964,3734899897942,3739899897942
11,15,1,2013,1574,6376957850168,6386957850168
12,15,1,2013,1892,7064609263131,7079609263131
13,15,1,2013,1491,8584603489694,8599603489694
14,15,1,2013,1391,5638965289089,5653965289089
15,15,1,2013,1750,5776866159305,5791866159305
16,15,1,2013,1339,8381684782007,8391684782007
17,15,1,2013,2521,5222934127750,5235434127750
18,15,1,2013,2805,11893958776660,11908958776660
19,15,1,2013,2444,7071038269464,7086038269464
20,15,1,2013,2689,11740247526242,11762747476242
21,15,1,2013,975,8538074336805,8545574336805
22,15,1,2013,1254,9915577119371,9923077119371
23,15,1,2013,2730,16051421524807,16071421524807
0,16,1,2013,1124,2809278889760,2814278889760
1,16,1,2013,2920,24855392373158,24862892373158
2,16,1,2013,2816,14723314260156,14740814160156
3,16,1,2013,2006,8859135293560,8871635293560
4,16,1,2013,2158,13886914388205,13899414388205
5,16,1,2013,1564,10137973460887,10142973460887
6,16,1,2013,1533,5804423381360,5811923381360
7,16,1,2013,3584,15369502290333,15389502290333
8,16,1,2013,2235,7378859203766,7391359203766
9,16,1,2013,2160,3482379467019,3497379467019
10,16,1,2013,1467,8515414336885,8522914336885
11,16,1,2013,1560,6773922807159,6783922707159
12,16,1,2013,2872,9252802621905,9270302621905
13,16,1,2013,1721,7433941355492,7441441355492
14,16,1,2013,1501,6702430742096,6712430692096
15,16,1,2013,2707,9037174001775,9052174001775
16,16,1,2013,1692,5697676241224,5710176241224
17,16,1,2013,3256,11785223426449,11807723426449
18,16,1,2013,2797,8926843388616,8946843388616
19,16,1,2013,3281,12517096473769,12547096473769
20,16,1,2013,2381,6640479451798,6655479451798
21,16,1,2013,2409,7453628756645,7473628756645
22,16,1,2013,1937,8702219545669,8717219545669
23,16,1,2013,1948,6430310519524,6440310519524
0,17,1,2013,3580,9328178594455,9345678594455
1,17,1,2013,1346,8131603782343,8139103782343
2,17,1,2013,1662,9375653970307,9388153970307
3,17,1,2013,2340,9948902340107,9968902340107
4,17,1,2013,2154,9068288814229,9078288814229
5,17,1,2013,1908,7829506472719,7844506472719
6,17,1,2013,2007,10060570761505,10075570761505
7,17,1,2013,1396,5232978555702,5240478555702
8,17,1,2013,2387,6529178601298,6544178601298
9,17,1,2013,1663,8682826924626,8690326874626
10,17,1,2013,1632,8719543983713,8729543983713
11,17,1,2013,1513,5750460574391,5757960574391
12,17,1,2013,1241,9458651826022,9463651826022
13,17,1,2013,2028,6381907938257,6391907938257
14,17,1,2013,2403,9004501358972,9014501358972
15,17,1,2013,1506,5816551379492,5824051329492
16,17,1,2013,1533,6485049290869,6497549240869
17,17,1,2013,1721,5279848455677,5289848455677
18,17,1,2013,2046,4803543578843,4813543578843
19,17,1,2013,2343,4068580167804,4083580167804
20,17,1,2013,2978,10009193488831,10024193488831
21,17,1,2013,1864,4671681866258,4684181866258
22,17,1,2013,2358,8241707024825,8251707024825
23,17,1,2013,2491,9736284198378,9751284198378
0,18,1,2013,3258,8213578116912,8226078116912
1,18,1,2013,721,1355363950549,1357863950549
2,18,1,2013,2629,21971555013811,21984055013811
3,18,1,2013,2201,10270069753296,10292569653296
4,18,1,2013,2862,6980086071956,6997586071956
5,18,1,2013,1978,5327152016653,5349652016653
6,18,1,2013,1791,5071324272538,5086324272538
7,18,1,2013,1782,5930244145898,5942744145898
8,18,1,2013,352,3226036823696,3228536823696
9,18,1,2013,2422,7866383048043,7881383048043
10,18,1,2013,1925,6151303773389,6161303773389
11,18,1,2013,1897,6710525498706,6725525498706
12,18,1,2013,2024,4678136120444,4690636120444
13,18,1,2013,1923,4111749131192,4124249131192
14,18,1,2013,1571,2921408238260,2933908238260
15,18,1,2013,2486,4485357333241,4500357333241
16,18,1,2013,2423,5769649735432,5782149735432
17,18,1,2013,2244,3679003184919,3689003184919
18,18,1,2013,1894,7182648440760,7192648440760
19,18,1,2013,1599,5180885596865,5190885596865
20,18,1,2013,2971,10333807559310,10346307559310
21,18,1,2013,512,3004080919792,3006580869792
